azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7,azimuth8,elevation8,temperature8,humidity8,vPanel8,azimuth9,elevation9,temperature9,humidity9,vPanel9,azimuth10,elevation10,temperature10,humidity10,vPanel10,azimuth11,elevation11,temperature11,humidity11,vPanel11,azimuth12,elevation12,temperature12,humidity12,vPanel12,azimuth13,elevation13,temperature13,humidity13,vPanel13,azimuth14,elevation14,temperature14,humidity14,vPanel14,azimuth15,elevation15,temperature15,humidity15,vPanel15,azimuth16,elevation16,temperature16,humidity16,vPanel16,azimuth17,elevation17,temperature17,humidity17,vPanel17,azimuth18,elevation18,temperature18,humidity18,vPanel18,azimuth19,elevation19,temperature19,humidity19,vPanel19,azimuth20,elevation20,temperature20,humidity20,vPanel20,azimuth21,elevation21,temperature21,humidity21,vPanel21,azimuth22,elevation22,temperature22,humidity22,vPanel22,azimuth23,elevation23,temperature23,humidity23,vPanel23,azimuth24,elevation24,temperature24,humidity24,vPanel24,azimuth25,elevation25,temperature25,humidity25,vPanel25,azimuth26,elevation26,temperature26,humidity26,vPanel26
99.641,40.735,41.2,17.8,0.984,99.843,40.935,41.3,17.8,0.989,100.044,41.131,41.5,17.1,0.998,100.242,41.324,42.0,16.9,1.002,100.441,41.518,42.8,16.6,1.007,100.647,41.717,42.9,16.4,1.007,100.848,41.91,43.0,16.4,1.009,101.052,42.106,43.4,16.1,1.014,101.258,42.301,43.6,16.0,1.02,101.464,42.497,43.8,15.7,1.028,101.668,42.689,44.2,15.6,1.031,101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135
99.843,40.935,41.3,17.8,0.989,100.044,41.131,41.5,17.1,0.998,100.242,41.324,42.0,16.9,1.002,100.441,41.518,42.8,16.6,1.007,100.647,41.717,42.9,16.4,1.007,100.848,41.91,43.0,16.4,1.009,101.052,42.106,43.4,16.1,1.014,101.258,42.301,43.6,16.0,1.02,101.464,42.497,43.8,15.7,1.028,101.668,42.689,44.2,15.6,1.031,101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15
100.044,41.131,41.5,17.1,0.998,100.242,41.324,42.0,16.9,1.002,100.441,41.518,42.8,16.6,1.007,100.647,41.717,42.9,16.4,1.007,100.848,41.91,43.0,16.4,1.009,101.052,42.106,43.4,16.1,1.014,101.258,42.301,43.6,16.0,1.02,101.464,42.497,43.8,15.7,1.028,101.668,42.689,44.2,15.6,1.031,101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15,105.553,46.168,46.2,14.2,1.151
100.242,41.324,42.0,16.9,1.002,100.441,41.518,42.8,16.6,1.007,100.647,41.717,42.9,16.4,1.007,100.848,41.91,43.0,16.4,1.009,101.052,42.106,43.4,16.1,1.014,101.258,42.301,43.6,16.0,1.02,101.464,42.497,43.8,15.7,1.028,101.668,42.689,44.2,15.6,1.031,101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15,105.553,46.168,46.2,14.2,1.151,105.78,46.36,46.6,13.8,1.163
100.441,41.518,42.8,16.6,1.007,100.647,41.717,42.9,16.4,1.007,100.848,41.91,43.0,16.4,1.009,101.052,42.106,43.4,16.1,1.014,101.258,42.301,43.6,16.0,1.02,101.464,42.497,43.8,15.7,1.028,101.668,42.689,44.2,15.6,1.031,101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15,105.553,46.168,46.2,14.2,1.151,105.78,46.36,46.6,13.8,1.163,106.008,46.552,45.6,14.5,1.16
100.647,41.717,42.9,16.4,1.007,100.848,41.91,43.0,16.4,1.009,101.052,42.106,43.4,16.1,1.014,101.258,42.301,43.6,16.0,1.02,101.464,42.497,43.8,15.7,1.028,101.668,42.689,44.2,15.6,1.031,101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15,105.553,46.168,46.2,14.2,1.151,105.78,46.36,46.6,13.8,1.163,106.008,46.552,45.6,14.5,1.16,106.238,46.743,45.2,14.9,1.164
100.848,41.91,43.0,16.4,1.009,101.052,42.106,43.4,16.1,1.014,101.258,42.301,43.6,16.0,1.02,101.464,42.497,43.8,15.7,1.028,101.668,42.689,44.2,15.6,1.031,101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15,105.553,46.168,46.2,14.2,1.151,105.78,46.36,46.6,13.8,1.163,106.008,46.552,45.6,14.5,1.16,106.238,46.743,45.2,14.9,1.164,106.468,46.935,45.8,14.6,1.173
101.052,42.106,43.4,16.1,1.014,101.258,42.301,43.6,16.0,1.02,101.464,42.497,43.8,15.7,1.028,101.668,42.689,44.2,15.6,1.031,101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15,105.553,46.168,46.2,14.2,1.151,105.78,46.36,46.6,13.8,1.163,106.008,46.552,45.6,14.5,1.16,106.238,46.743,45.2,14.9,1.164,106.468,46.935,45.8,14.6,1.173,106.7,47.126,45.6,14.6,1.185
101.258,42.301,43.6,16.0,1.02,101.464,42.497,43.8,15.7,1.028,101.668,42.689,44.2,15.6,1.031,101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15,105.553,46.168,46.2,14.2,1.151,105.78,46.36,46.6,13.8,1.163,106.008,46.552,45.6,14.5,1.16,106.238,46.743,45.2,14.9,1.164,106.468,46.935,45.8,14.6,1.173,106.7,47.126,45.6,14.6,1.185,106.929,47.314,46.2,14.2,1.195
101.464,42.497,43.8,15.7,1.028,101.668,42.689,44.2,15.6,1.031,101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15,105.553,46.168,46.2,14.2,1.151,105.78,46.36,46.6,13.8,1.163,106.008,46.552,45.6,14.5,1.16,106.238,46.743,45.2,14.9,1.164,106.468,46.935,45.8,14.6,1.173,106.7,47.126,45.6,14.6,1.185,106.929,47.314,46.2,14.2,1.195,107.159,47.502,46.5,13.9,1.201
101.668,42.689,44.2,15.6,1.031,101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15,105.553,46.168,46.2,14.2,1.151,105.78,46.36,46.6,13.8,1.163,106.008,46.552,45.6,14.5,1.16,106.238,46.743,45.2,14.9,1.164,106.468,46.935,45.8,14.6,1.173,106.7,47.126,45.6,14.6,1.185,106.929,47.314,46.2,14.2,1.195,107.159,47.502,46.5,13.9,1.201,107.395,47.692,46.1,14.7,1.208
101.873,42.882,44.3,15.6,1.036,102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15,105.553,46.168,46.2,14.2,1.151,105.78,46.36,46.6,13.8,1.163,106.008,46.552,45.6,14.5,1.16,106.238,46.743,45.2,14.9,1.164,106.468,46.935,45.8,14.6,1.173,106.7,47.126,45.6,14.6,1.185,106.929,47.314,46.2,14.2,1.195,107.159,47.502,46.5,13.9,1.201,107.395,47.692,46.1,14.7,1.208,107.631,47.883,43.8,15.8,1.211
102.082,43.077,43.6,16.0,1.039,102.295,43.275,43.6,16.1,1.043,102.506,43.47,44.0,15.5,1.048,102.715,43.661,44.1,15.6,1.054,102.928,43.856,44.2,15.5,1.062,103.145,44.053,44.6,15.4,1.068,103.364,44.251,44.9,15.1,1.072,103.58,44.445,45.3,14.8,1.078,103.79,44.632,45.7,14.7,1.083,104.008,44.826,44.9,15.0,1.095,104.227,45.02,44.0,15.6,1.104,104.443,45.21,44.5,15.3,1.112,104.661,45.4,44.9,15.1,1.122,104.883,45.593,45.5,14.4,1.127,105.107,45.786,45.7,14.4,1.135,105.331,45.978,46.0,14.4,1.15,105.553,46.168,46.2,14.2,1.151,105.78,46.36,46.6,13.8,1.163,106.008,46.552,45.6,14.5,1.16,106.238,46.743,45.2,14.9,1.164,106.468,46.935,45.8,14.6,1.173,106.7,47.126,45.6,14.6,1.185,106.929,47.314,46.2,14.2,1.195,107.159,47.502,46.5,13.9,1.201,107.395,47.692,46.1,14.7,1.208,107.631,47.883,43.8,15.8,1.211,107.873,48.076,42.8,16.8,1.218
