azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7,azimuth8,elevation8,temperature8,humidity8,vPanel8,azimuth9,elevation9,temperature9,humidity9,vPanel9,azimuth10,elevation10,temperature10,humidity10,vPanel10,azimuth11,elevation11,temperature11,humidity11,vPanel11,azimuth12,elevation12,temperature12,humidity12,vPanel12,azimuth13,elevation13,temperature13,humidity13,vPanel13,azimuth14,elevation14,temperature14,humidity14,vPanel14
104.014,47.463,41.5,15.2,1.061,104.284,47.697,42.7,14.8,1.067,104.613,47.979,43.8,13.7,1.071,104.876,48.203,43.3,14.1,1.072,105.156,48.438,43.2,14.2,1.076,105.433,48.67,43.7,13.9,1.077,105.713,48.902,44.5,13.7,1.102,105.987,49.128,43.5,14.2,1.119,106.296,49.38,44.5,13.5,1.125,106.57,49.602,45.1,13.1,1.127,106.861,49.836,43.6,13.8,1.125,107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134
104.284,47.697,42.7,14.8,1.067,104.613,47.979,43.8,13.7,1.071,104.876,48.203,43.3,14.1,1.072,105.156,48.438,43.2,14.2,1.076,105.433,48.67,43.7,13.9,1.077,105.713,48.902,44.5,13.7,1.102,105.987,49.128,43.5,14.2,1.119,106.296,49.38,44.5,13.5,1.125,106.57,49.602,45.1,13.1,1.127,106.861,49.836,43.6,13.8,1.125,107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147
104.613,47.979,43.8,13.7,1.071,104.876,48.203,43.3,14.1,1.072,105.156,48.438,43.2,14.2,1.076,105.433,48.67,43.7,13.9,1.077,105.713,48.902,44.5,13.7,1.102,105.987,49.128,43.5,14.2,1.119,106.296,49.38,44.5,13.5,1.125,106.57,49.602,45.1,13.1,1.127,106.861,49.836,43.6,13.8,1.125,107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154
104.876,48.203,43.3,14.1,1.072,105.156,48.438,43.2,14.2,1.076,105.433,48.67,43.7,13.9,1.077,105.713,48.902,44.5,13.7,1.102,105.987,49.128,43.5,14.2,1.119,106.296,49.38,44.5,13.5,1.125,106.57,49.602,45.1,13.1,1.127,106.861,49.836,43.6,13.8,1.125,107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167
105.156,48.438,43.2,14.2,1.076,105.433,48.67,43.7,13.9,1.077,105.713,48.902,44.5,13.7,1.102,105.987,49.128,43.5,14.2,1.119,106.296,49.38,44.5,13.5,1.125,106.57,49.602,45.1,13.1,1.127,106.861,49.836,43.6,13.8,1.125,107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184
105.433,48.67,43.7,13.9,1.077,105.713,48.902,44.5,13.7,1.102,105.987,49.128,43.5,14.2,1.119,106.296,49.38,44.5,13.5,1.125,106.57,49.602,45.1,13.1,1.127,106.861,49.836,43.6,13.8,1.125,107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185
105.713,48.902,44.5,13.7,1.102,105.987,49.128,43.5,14.2,1.119,106.296,49.38,44.5,13.5,1.125,106.57,49.602,45.1,13.1,1.127,106.861,49.836,43.6,13.8,1.125,107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193
105.987,49.128,43.5,14.2,1.119,106.296,49.38,44.5,13.5,1.125,106.57,49.602,45.1,13.1,1.127,106.861,49.836,43.6,13.8,1.125,107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2
106.296,49.38,44.5,13.5,1.125,106.57,49.602,45.1,13.1,1.127,106.861,49.836,43.6,13.8,1.125,107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205
106.57,49.602,45.1,13.1,1.127,106.861,49.836,43.6,13.8,1.125,107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212
