azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7,azimuth8,elevation8,temperature8,humidity8,vPanel8,azimuth9,elevation9,temperature9,humidity9,vPanel9,azimuth10,elevation10,temperature10,humidity10,vPanel10,azimuth11,elevation11,temperature11,humidity11,vPanel11,azimuth12,elevation12,temperature12,humidity12,vPanel12,azimuth13,elevation13,temperature13,humidity13,vPanel13,azimuth14,elevation14,temperature14,humidity14,vPanel14,azimuth15,elevation15,temperature15,humidity15,vPanel15,azimuth16,elevation16,temperature16,humidity16,vPanel16,azimuth17,elevation17,temperature17,humidity17,vPanel17,azimuth18,elevation18,temperature18,humidity18,vPanel18,azimuth19,elevation19,temperature19,humidity19,vPanel19,azimuth20,elevation20,temperature20,humidity20,vPanel20
92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828
92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834
92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843
93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85
93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855
93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867
93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876
93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881
93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885
94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885,97.808,38.512,39.3,17.2,0.89
94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885,97.808,38.512,39.3,17.2,0.89,98.007,38.716,39.9,16.7,0.9
94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885,97.808,38.512,39.3,17.2,0.89,98.007,38.716,39.9,16.7,0.9,98.194,38.907,40.1,16.3,0.905
94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885,97.808,38.512,39.3,17.2,0.89,98.007,38.716,39.9,16.7,0.9,98.194,38.907,40.1,16.3,0.905,98.388,39.105,40.3,16.2,0.911
94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885,97.808,38.512,39.3,17.2,0.89,98.007,38.716,39.9,16.7,0.9,98.194,38.907,40.1,16.3,0.905,98.388,39.105,40.3,16.2,0.911,98.579,39.299,41.0,15.9,0.919
95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885,97.808,38.512,39.3,17.2,0.89,98.007,38.716,39.9,16.7,0.9,98.194,38.907,40.1,16.3,0.905,98.388,39.105,40.3,16.2,0.911,98.579,39.299,41.0,15.9,0.919,98.777,39.499,41.0,15.7,0.926
95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885,97.808,38.512,39.3,17.2,0.89,98.007,38.716,39.9,16.7,0.9,98.194,38.907,40.1,16.3,0.905,98.388,39.105,40.3,16.2,0.911,98.579,39.299,41.0,15.9,0.919,98.777,39.499,41.0,15.7,0.926,98.973,39.696,41.1,15.5,0.933
95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885,97.808,38.512,39.3,17.2,0.89,98.007,38.716,39.9,16.7,0.9,98.194,38.907,40.1,16.3,0.905,98.388,39.105,40.3,16.2,0.911,98.579,39.299,41.0,15.9,0.919,98.777,39.499,41.0,15.7,0.926,98.973,39.696,41.1,15.5,0.933,99.167,39.89,40.3,15.7,0.937
95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885,97.808,38.512,39.3,17.2,0.89,98.007,38.716,39.9,16.7,0.9,98.194,38.907,40.1,16.3,0.905,98.388,39.105,40.3,16.2,0.911,98.579,39.299,41.0,15.9,0.919,98.777,39.499,41.0,15.7,0.926,98.973,39.696,41.1,15.5,0.933,99.167,39.89,40.3,15.7,0.937,99.368,40.09,39.8,15.9,0.946
95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885,97.808,38.512,39.3,17.2,0.89,98.007,38.716,39.9,16.7,0.9,98.194,38.907,40.1,16.3,0.905,98.388,39.105,40.3,16.2,0.911,98.579,39.299,41.0,15.9,0.919,98.777,39.499,41.0,15.7,0.926,98.973,39.696,41.1,15.5,0.933,99.167,39.89,40.3,15.7,0.937,99.368,40.09,39.8,15.9,0.946,99.563,40.284,40.5,15.8,0.948
95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828,96.296,36.931,36.2,20.3,0.834,96.483,37.13,36.2,19.4,0.843,96.668,37.325,36.3,19.5,0.85,96.859,37.526,37.0,19.3,0.855,97.048,37.724,36.9,18.9,0.867,97.235,37.919,37.6,18.2,0.876,97.429,38.12,37.5,18.6,0.881,97.62,38.318,38.6,17.9,0.885,97.808,38.512,39.3,17.2,0.89,98.007,38.716,39.9,16.7,0.9,98.194,38.907,40.1,16.3,0.905,98.388,39.105,40.3,16.2,0.911,98.579,39.299,41.0,15.9,0.919,98.777,39.499,41.0,15.7,0.926,98.973,39.696,41.1,15.5,0.933,99.167,39.89,40.3,15.7,0.937,99.368,40.09,39.8,15.9,0.946,99.563,40.284,40.5,15.8,0.948,99.762,40.481,41.1,15.5,0.956
